"CD45RA","CD133","CD19","CD22","CD11b","CD4","CD8","CD34","Flt3","CD20","CXCR4","CD235ab","CD45","CD123","CD321","CD14","CD33","CD47","CD11c","CD7","CD15","CD16","CD44","CD38","CD13","CD3","CD61","CD117","CD49d","HLA-DR","CD64","CD41"
0.29185,0.01418,0.062,0.09084,3.71913,0.3584,0.05763,0.0705,0.07101,0.00298,0.59623,0.47629,5.62455,0.38414,3.34835,0.60467,2.76564,2.8854,3.21101,0,0.01846,0.05944,4.80766,2.11415,1.42955,0.10894,0.24468,0,0.30678,1.63,1.83932,0.22819
0.40238,0.02754,0.06965,0.07776,3.31843,0.37822,0.05996,0.123,0.08914,0.01008,0.63625,0.54717,5.84871,0.49572,3.10936,0.55702,2.23066,2.82763,3.24864,0,0.05486,0.0735,5.09963,1.72628,1.4562,0.12963,0.28364,0.0026,0.56981,3.11306,1.67381,0.28514
0.52071,0.14682,0.15827,0.19617,3.22854,0.38894,0.11357,0.21237,0.23043,0.05299,0.53013,0.78851,5.88965,0.51202,3.03681,0.3117,1.13047,2.49399,3.44,0.03735,0.18215,0.09975,5.04389,1.28143,1.22101,0.17457,0.41055,0.01177,0.87036,3.47657,1.75551,0.3681
0.67246,0.20344,0.18601,0.2259,2.93985,0.39946,0.13746,0.26051,0.32005,0.097,0.52693,0.87649,5.84518,0.57275,2.76332,0.18559,0.43399,1.86047,3.43463,0.03589,0.24008,0.0897,4.82783,0.99849,0.82403,0.22059,0.46872,0.02128,1.26477,3.78193,1.79233,0.40638
0.73537,0.23402,0.1911,0.2295,2.26574,0.34606,0.1454,0.29236,0.36792,0.10969,0.5782,0.87976,5.86005,0.76915,2.41217,0.15784,0.37702,1.91663,3.4328,0.04058,0.28898,0.12291,4.62418,1.06571,0.79441,0.26661,0.55306,0.02779,1.90367,4.34217,1.67948,0.49712
0.67798,0.19381,0.16083,0.18582,1.79267,0.29084,0.11184,0.2807,0.29253,0.09772,0.63762,0.71834,5.51598,0.77758,2.35872,0.21506,0.65959,2.46926,3.17702,0.06397,0.2893,0.15028,4.64286,1.62627,0.78388,0.31089,0.44905,0.04453,1.82698,4.34014,1.93434,0.47649
0.70098,0.18551,0.15206,0.20168,1.72938,0.2528,0.10411,0.32425,0.3285,0.08331,0.77246,0.6948,5.4827,0.9936,2.70988,0.19119,0.9703,2.91577,3.19065,0.06067,0.31102,0.16209,4.77036,2.31062,0.80387,0.3392,0.47365,0.04997,1.54972,4.3131,2.292,0.50407
0.60472,0.16201,0.13011,0.15621,1.80865,0.24352,0.09449,0.31013,0.23393,0.06547,1.23816,0.66565,5.32433,1.23092,2.75684,0.12643,1.42248,3.11564,2.96055,0.05864,0.25895,0.13491,4.60815,2.90792,0.60752,0.35991,0.33888,0.03802,1.19474,4.17196,2.55594,0.33781
0.48935,0.13442,0.1078,0.13397,1.35135,0.24253,0.08735,0.29192,0.28225,0.07846,1.62853,0.57656,5.08031,1.4746,2.70734,0.08639,1.66187,3.20118,2.62718,0.04951,0.26644,0.14292,4.55121,3.13225,0.56299,0.27811,0.25965,0.02352,1.22042,4.44911,2.6616,0.33383
0.51089,0.10766,0.07706,0.1215,0.78536,0.2193,0.08021,0.32265,0.31379,0.06977,1.72864,0.46026,4.82675,1.51549,2.5235,0.06914,1.72421,3.31762,2.34555,0.06946,0.26977,0.12113,4.53923,3.2845,0.59159,0.28344,0.19614,0.03687,1.25374,4.84021,2.44884,0.31494
0.49251,0.08815,0.07664,0.0942,0.38699,0.16548,0.04923,0.31449,0.29622,0.05682,1.86791,0.4005,4.58965,1.49309,2.43807,0.0681,1.73182,3.35763,1.88596,0.05112,0.22967,0.12924,4.51579,3.56119,0.53249,0.25679,0.15465,0.03913,1.06281,5.19338,1.79594,0.29587
1.03155,0.22999,1.38851,0.30985,0.4394,0.19955,0.1062,0.24451,0.28477,0.32129,0.96491,0.66081,5.03987,0.95098,1.95229,0.11348,0.36255,3.24419,0.84357,0.02707,0.24652,0.15715,4.04038,4.28493,0.57714,0.39762,0.40912,0.03123,1.98401,4.8376,0.57485,0.46686
0.67533,0.12412,1.77915,0.34872,0.17022,0.0536,0.04961,0.1427,0.17777,0.28544,1.39787,0.35639,4.60115,0.48984,1.93792,0.0701,0.27159,3.63728,0.21774,0.05178,0.24319,0.11136,2.62969,4.6643,0.69184,0.1948,0.21211,0.0235,1.22662,4.45726,0.15294,0.30334
0.71416,0.026,2.13679,0.42555,0.05865,0.00458,0.00169,0.10737,0.15399,0.17786,1.80832,0.27013,4.57296,0.27173,2.02553,0.05436,0.24865,4.08648,0.06332,0.02342,0.01652,0.03513,2.04476,4.97581,0.67993,0.06462,0.06688,0.00881,0.75556,4.96387,0.07493,0.23445
0.77869,0.016,2.28504,0.31831,0.04425,0,0,0.06529,0.11068,0.11804,1.63534,0.2271,4.69043,0.34027,2.02142,0.02347,0.15995,4.06161,0.03588,0.00284,0.00506,0.02363,1.50402,4.95692,0.41801,0.03595,0.02673,0,0.45547,4.67178,0.04665,0.12091
1.01969,0.03671,2.36185,0.29157,0.05781,0.0116,0.01107,0.0661,0.12085,0.1791,1.40746,0.28277,4.72049,0.49518,2.07501,0.01889,0.13127,3.56768,0.05882,0.01492,0.04913,0.02683,1.49833,4.5286,0.354,0.06025,0.0554,0,0.53449,4.05139,0.06761,0.11916
1.04394,0.1067,2.03615,0.36765,0.15453,0.05739,0.03778,0.18976,0.20843,1.16576,1.29573,0.35552,4.98292,0.71108,2.02053,0.02915,0.13208,3.4097,0.18861,0.03671,0.20299,0.0913,2.00791,4.7066,0.41396,0.13002,0.16087,0.00211,0.79566,3.81435,0.08974,0.17577
0.90637,0.16018,1.9307,0.38869,0.18975,0.07357,0.05858,0.34898,0.21535,2.27289,1.35199,0.46832,4.97263,0.60023,1.99448,0.05325,0.12596,3.46524,0.22348,0.03131,0.229,0.1082,2.16761,4.83406,0.46465,0.14417,0.21073,0.00965,0.96741,3.7195,0.10233,0.18153
1.10733,0.19961,1.83795,0.68149,0.27237,0.10937,0.12399,0.56776,0.25913,3.59629,0.93103,0.49972,5.29446,0.49376,1.59344,0.04643,0.09743,2.9912,0.23107,0.04688,0.29346,0.09608,2.43951,4.66994,0.37608,0.20008,0.21804,0.02545,1.07185,2.38019,0.11615,0.1713
1.45926,0.24804,2.15863,1.74184,0.31654,0.12902,0.12337,0.46705,0.31117,2.85633,0.99677,0.5611,5.58327,0.26055,1.43324,0.05983,0.13837,3.19641,0.20792,0.0542,0.25508,0.08809,3.11844,4.24222,0.35172,0.22661,0.16467,0.01163,0.92638,4.06616,0.1036,0.19825
1.4354,0.15296,2.14819,2.23715,0.32004,0.07009,0.07835,0.26177,0.24744,1.31251,1.00897,0.52644,5.5978,0.25121,1.33903,0.05606,0.12122,3.04144,0.21051,0.02366,0.16626,0.08333,3.59533,2.81169,0.20973,0.18907,0.14151,0.02003,0.72992,4.29996,0.1567,0.22461
1.3018,0.11707,2.13076,2.46182,0.29598,0.06453,0.05095,0.16272,0.19481,0.77084,1.06318,0.51166,5.56315,0.19169,1.18103,0.05191,0.13525,2.94247,0.21204,0.02069,0.14639,0.09497,3.71727,1.71584,0.19026,0.20311,0.11745,0.01406,0.74207,4.42892,0.1857,0.28372
1.41683,0.06665,2.09268,2.56556,0.28362,0.02917,0.04363,0.14334,0.14463,0.55366,1.13594,0.53381,5.66216,0.18185,1.03033,0.03886,0.12011,2.86347,0.1338,0.02522,0.05769,0.05982,3.87358,1.13772,0.13352,0.14773,0.04977,0.01422,0.59447,4.49804,0.12845,0.21497
1.80851,0.04271,2.28997,2.5519,0.23181,0.02311,0.02582,0.11869,0.11028,0.58936,1.21013,0.57268,5.9122,0.12326,1.16212,0.01367,0.08033,2.8484,0.07375,0,0.01045,0.03874,4.28468,0.47562,0.06997,0.10356,0.00613,0,0.37861,4.58991,0.06124,0.14351
0.27038,0.01637,0.05423,0.07879,3.53334,0.28716,0.04777,0.06669,0.06644,0,0.51158,0.50557,5.6572,0.30502,3.21295,0.37967,1.96461,2.56096,2.84224,0,0.04446,0.06233,4.94619,1.63221,0.98687,0.10461,0.24442,0,0.25909,1.06748,1.59812,0.17579
0.41737,0.05004,0.11201,0.09571,3.14107,0.32509,0.08041,0.12763,0.09996,0.03434,0.57425,0.63424,5.68037,0.38562,2.97816,0.41097,1.56982,2.63335,2.87811,0.01807,0.11037,0.12419,5.0525,1.73564,1.23751,0.20227,0.4568,0.02058,0.56799,2.14359,1.83958,0.30609
0.55792,0.20448,0.15791,0.18682,2.96717,0.35373,0.12016,0.22159,0.23285,0.08519,0.47467,0.74581,5.71995,0.42096,2.83774,0.30142,0.83596,2.28994,3.08173,0.05413,0.28992,0.14269,4.91495,1.55842,1.17043,0.30084,0.58875,0.02267,1.04775,2.67414,2.15765,0.54998
0.55056,0.18648,0.1714,0.17497,2.69192,0.32646,0.11159,0.24605,0.25916,0.10151,0.52279,0.80737,5.67207,0.4321,2.57424,0.24393,0.45348,1.93671,2.93114,0.03787,0.26871,0.10054,4.66758,1.4546,0.86152,0.27869,0.62419,0.03759,1.38435,2.92015,2.20409,0.55839
0.61555,0.21624,0.16315,0.18119,2.35868,0.29855,0.11824,0.25178,0.36132,0.08944,0.5453,0.76871,5.55287,0.55327,2.47421,0.24342,0.53271,2.14829,2.62432,0.06666,0.29689,0.14163,4.61912,1.60576,0.75694,0.30623,0.56457,0.05824,1.53431,3.22101,2.26582,0.5064
0.59098,0.18406,0.13563,0.17846,2.14788,0.24919,0.09749,0.24814,0.25805,0.06593,0.57169,0.622,5.44687,0.64792,2.51745,0.26505,0.6649,2.43625,2.61039,0.0654,0.35713,0.18907,4.5964,2.03967,0.80394,0.30935,0.65856,0.03028,1.6093,3.4157,2.42329,0.59831
0.64168,0.20376,0.15986,0.14884,1.94944,0.25952,0.11465,0.2151,0.30395,0.06654,0.81897,0.64708,5.39052,0.91883,2.61752,0.2187,0.9406,2.69518,2.59061,0.0715,0.34665,0.1231,4.62627,2.45014,0.75538,0.3662,0.53589,0.03038,1.42173,3.43606,2.87645,0.54828
0.47586,0.12253,0.10373,0.10945,1.94099,0.22034,0.08466,0.21473,0.21472,0.05157,1.22919,0.49131,5.15919,1.29121,2.67203,0.11762,1.39334,2.97501,2.2639,0.03441,0.27152,0.1398,4.41612,3.01455,0.52608,0.27352,0.31631,0.05276,1.12231,3.50551,2.98889,0.37022
0.44473,0.09674,0.09028,0.08799,1.20794,0.13188,0.06141,0.20336,0.20864,0.06864,1.43776,0.44723,4.86842,1.29458,2.61935,0.08222,1.5624,3.02177,2.03001,0.03376,0.22395,0.13001,4.32677,3.07368,0.55866,0.27874,0.29187,0.0255,1.08407,3.79246,2.77423,0.28845
0.36564,0.06658,0.07855,0.05038,0.70709,0.15456,0.05142,0.21759,0.16606,0.02317,1.46499,0.32189,4.6789,1.33025,2.45707,0.07111,1.69151,3.0104,1.97505,0.03543,0.12287,0.12203,4.19113,3.1673,0.6351,0.33641,0.19319,0.01926,0.90557,4.0285,2.35837,0.29405
0.51339,0.12102,0.11091,0.12719,0.4618,0.14183,0.101,0.33311,0.35059,0.01796,1.21572,0.3831,4.58915,1.28634,2.17248,0.06497,1.06173,3.03997,2.11087,0.06301,0.27487,0.16924,4.17644,3.06612,0.58792,0.32109,0.26068,0.07544,1.28927,4.63821,1.59687,0.34597
1.1954,0.2258,1.45941,0.71516,0.22898,0.11732,0.06322,0.71621,0.28285,0.50518,0.88895,0.66453,5.06788,0.89079,2.20381,0.00042,0.28277,3.7766,0.63776,0.07478,0.51888,0.37623,3.64498,4.50433,0.83842,0.45463,0.25153,0.07315,2.09217,4.4982,0.34789,0.38667
0.42878,0.07981,1.85826,0.57098,0.13145,0.04073,0.00586,0.44751,0.25875,0.3842,1.62781,0.27409,4.01405,0.13023,2.11957,0.07658,0.39706,4.19026,0.1803,0.02428,0.12944,0.08767,2.49733,4.66638,0.76276,0.11999,0.07741,0.01625,1.02744,4.70339,0.10428,0.27639
0.53179,0.02367,1.93391,0.25854,0.06117,0,0.00522,0.12504,0.09723,0.08816,1.53444,0.14327,3.91449,0.21121,1.97078,0.0435,0.27189,3.9376,0.10356,0.01519,0.02825,0.03707,2.03336,4.96773,0.64539,0.04181,0.06016,0,0.72141,4.07287,0.0557,0.15744
0.50337,0.00438,1.84511,0.25033,0.05042,0.01035,0,0.03336,0.08005,0.02653,1.19307,0.15842,3.99021,0.25319,1.67734,0.03586,0.21405,3.62728,0.07302,0.02543,0.04925,0.055,1.8018,4.85256,0.65288,0.05549,0.05477,0,0.68163,3.75808,0.0715,0.15235
0.66507,0.06088,1.9723,0.25746,0.08512,0.03231,0.0123,0.08342,0.12473,0.07061,1.1894,0.23956,4.40238,0.34833,1.74583,0.03933,0.15975,3.41026,0.1641,0.0291,0.13021,0.05698,1.89539,4.72879,0.44985,0.07244,0.099,0.00362,0.70825,3.38636,0.07828,0.13956
0.77741,0.12262,1.92786,0.31384,0.14537,0.06366,0.0453,0.18174,0.24793,0.56212,1.24001,0.41274,4.67255,0.63401,1.92518,0.03948,0.15808,3.17547,0.19317,0.05648,0.25676,0.09464,2.20151,4.75881,0.44295,0.1731,0.18096,0.02098,1.0707,3.14941,0.1153,0.19418
0.85801,0.16418,1.7927,0.3797,0.22686,0.09001,0.0788,0.34641,0.1839,2.13812,1.0977,0.4562,5.08157,0.68941,1.95527,0.05546,0.14067,3.01869,0.18496,0.04161,0.2529,0.08645,2.29296,4.76768,0.45894,0.1952,0.19189,0.02448,1.07938,1.80772,0.09959,0.11984
1.04992,0.26142,1.7596,0.81429,0.28883,0.12928,0.12836,0.36751,0.31398,2.16596,0.82865,0.55216,5.4022,0.49656,1.57144,0.04501,0.14425,2.99524,0.20344,0.05399,0.32202,0.14099,2.68293,4.11025,0.30569,0.23892,0.19585,0,1.02465,2.97133,0.0861,0.1659
1.10384,0.19571,2.18312,1.95916,0.3243,0.17007,0.10631,0.50953,0.32272,3.29603,0.94067,0.46325,5.40264,0.24175,1.1502,0.03786,0.11824,2.56218,0.29222,0.03056,0.32552,0.07908,3.0877,3.49997,0.26891,0.24236,0.27806,0.03864,0.96106,3.57767,0.16041,0.2834
1.23358,0.26807,2.21654,2.40357,0.39787,0.13543,0.11531,0.36619,0.29665,2.14175,1.13386,0.6389,5.5404,0.2379,1.28723,0.06881,0.15479,2.8937,0.34208,0.05025,0.29802,0.13292,3.76351,2.4558,0.2567,0.29805,0.26491,0.06486,1.00366,4.38713,0.30732,0.43799
1.19156,0.23543,2.14232,2.43066,0.36831,0.12309,0.09714,0.27285,0.27535,1.42333,1.05777,0.69101,5.62381,0.22872,1.26568,0.05228,0.18388,2.83433,0.29516,0.06234,0.2483,0.10652,3.86301,1.65617,0.24288,0.27645,0.22162,0.03416,0.96236,4.50286,0.22028,0.35594
1.34339,0.13929,2.17271,2.49698,0.33267,0.09714,0.07404,0.25076,0.24264,1.15363,1.24003,0.55208,5.71313,0.20258,1.12388,0.03906,0.14149,2.8175,0.18676,0.00673,0.13282,0.0667,3.97947,0.88386,0.10902,0.21824,0.12935,0.01221,0.76942,4.53452,0.13111,0.23361
1.73872,0.07992,2.49816,2.53977,0.26702,0.05157,0.03803,0.15662,0.13766,1.08608,1.00483,0.61873,5.88277,0.12675,1.38495,0.01889,0.0819,2.81791,0.09064,0.00196,0.06221,0.05824,4.21739,0.44919,0.09653,0.12971,0.02313,0.00039,0.5662,4.05995,0.0811,0.14451
0.44748,0.10243,0.10266,0.15482,3.47601,0.303,0.07904,0.1313,0.1447,0.0452,0.47077,0.60245,5.72059,0.25317,3.15401,0.26941,1.16283,2.34053,3.01664,0.01354,0.16757,0.08267,4.98597,1.2259,0.88489,0.14832,0.34237,0,0.43651,1.18123,1.66682,0.28112
0.54053,0.17437,0.15354,0.19317,3.15456,0.33255,0.12008,0.22234,0.25126,0.07659,0.46348,0.67398,5.69264,0.36056,2.96439,0.27882,0.91036,2.38885,3.03261,0.06736,0.2595,0.11281,4.94404,1.61702,0.96114,0.26947,0.49854,0.02594,0.80957,1.93411,2.13148,0.43052
0.57109,0.17506,0.14239,0.1669,2.91638,0.3519,0.1238,0.23008,0.25757,0.0596,0.46494,0.63547,5.59216,0.43302,2.83457,0.33706,1.03948,2.38641,2.93788,0.05035,0.31955,0.15026,4.79586,1.95963,1.1826,0.30348,0.55679,0.03078,1.06461,2.17281,2.35985,0.50373
0.56086,0.1856,0.15671,0.17165,2.60377,0.32225,0.12474,0.22201,0.2977,0.08315,0.5617,0.687,5.56534,0.40977,2.68993,0.31993,0.65582,2.2248,2.72373,0.06212,0.33836,0.14973,4.73836,1.87981,0.93613,0.32794,0.6845,0.02964,1.3605,2.49225,2.45969,0.67272
0.51183,0.154,0.15981,0.14896,2.44894,0.29136,0.11148,0.25819,0.24881,0.0718,0.59565,0.75952,5.48385,0.48019,2.68148,0.29809,0.67462,2.31461,2.42787,0.06905,0.38298,0.15294,4.61947,2.01747,0.82204,0.38435,0.69521,0.04113,1.44208,2.76417,2.6025,0.62345
0.54979,0.14916,0.14784,0.17348,2.28845,0.27433,0.12287,0.24172,0.26598,0.09224,0.72186,0.76423,5.42469,0.67363,2.61495,0.28408,0.78492,2.45675,2.36048,0.06987,0.38237,0.17465,4.54629,2.34677,0.82835,0.35995,0.62699,0.04852,1.469,2.91001,2.74917,0.60151
0.49835,0.16137,0.13723,0.10927,2.05691,0.24686,0.10258,0.18989,0.20123,0.07399,0.82867,0.56623,5.23851,0.85235,2.65254,0.19155,1.05502,2.63596,2.22147,0.07212,0.36018,0.14804,4.41414,2.57734,0.6534,0.35876,0.43371,0.04533,1.39344,3.05546,2.88247,0.4956
0.46539,0.12394,0.08903,0.09991,1.67413,0.18873,0.08927,0.16598,0.25652,0.04113,1.13327,0.50299,5.03013,1.02378,2.54896,0.11835,1.16292,2.81164,1.94265,0.06522,0.30645,0.16533,4.28998,2.90648,0.52822,0.32754,0.45813,0.02662,1.24262,3.17932,3.01984,0.4249
